Gene stable ID	Gene name
ENSMMUG00000053105	5S_rRNA
ENSMMUG00000044246	Metazoa_SRP
ENSMMUG00000052988	Metazoa_SRP
ENSMMUG00000051199	5S_rRNA
ENSMMUG00000058983	5S_rRNA
ENSMMUG00000050099	5S_rRNA
ENSMMUG00000053289	5S_rRNA
ENSMMUG00000050167	5S_rRNA
ENSMMUG00000054394	5S_rRNA
ENSMMUG00000050971	
ENSMMUG00000026576	U6
ENSMMUG00000050302	Metazoa_SRP
ENSMMUG00000061587	U6
ENSMMUG00000064992	Metazoa_SRP
ENSMMUG00000025558	U1
ENSMMUG00000060709	
ENSMMUG00000035621	U1
ENSMMUG00000050926	Y_RNA
ENSMMUG00000047025	Metazoa_SRP
ENSMMUG00000051961	U6
ENSMMUG00000056846	
ENSMMUG00000062726	
ENSMMUG00000036728	
ENSMMUG00000050964	Metazoa_SRP
ENSMMUG00000065137	
ENSMMUG00000057829	Y_RNA
ENSMMUG00000061941	Metazoa_SRP
ENSMMUG00000054812	Metazoa_SRP
ENSMMUG00000059354	U6
ENSMMUG00000045839	Metazoa_SRP
ENSMMUG00000054381	
ENSMMUG00000049093	Metazoa_SRP
ENSMMUG00000057363	
ENSMMUG00000051050	
ENSMMUG00000054970	
ENSMMUG00000055981	
ENSMMUG00000052461	
ENSMMUG00000058124	
ENSMMUG00000060426	Metazoa_SRP
ENSMMUG00000059666	U6
ENSMMUG00000060006	
ENSMMUG00000025681	U6
ENSMMUG00000062580	
ENSMMUG00000001382	GJA8
ENSMMUG00000043586	ID3
ENSMMUG00000052364	
ENSMMUG00000052910	
ENSMMUG00000064896	Metazoa_SRP
ENSMMUG00000060928	
ENSMMUG00000011380	CNST
ENSMMUG00000002585	CCDC190
ENSMMUG00000062933	
ENSMMUG00000059690	
ENSMMUG00000055490	TFB2M
ENSMMUG00000055003	
ENSMMUG00000056502	
ENSMMUG00000055345	Y_RNA
ENSMMUG00000026049	Y_RNA
ENSMMUG00000005777	SMYD3
ENSMMUG00000024556	U6
ENSMMUG00000008153	NPR1
ENSMMUG00000017324	KIF26B
ENSMMUG00000050220	
ENSMMUG00000052401	Metazoa_SRP
ENSMMUG00000059892	Metazoa_SRP
ENSMMUG00000027317	U1
ENSMMUG00000008847	SH2D5
ENSMMUG00000011424	EFCAB2
ENSMMUG00000057396	Metazoa_SRP
ENSMMUG00000036930	U6
ENSMMUG00000060683	mml-mir-7180
ENSMMUG00000023150	KIAA1143
ENSMMUG00000051140	U6
ENSMMUG00000053368	
ENSMMUG00000036090	U6
ENSMMUG00000050136	Metazoa_SRP
ENSMMUG00000060516	
ENSMMUG00000054234	SERP1
ENSMMUG00000021098	HNRNPU
ENSMMUG00000013353	
ENSMMUG00000059986	
ENSMMUG00000062668	U6
ENSMMUG00000058292	
ENSMMUG00000031175	COX20
ENSMMUG00000048085	
ENSMMUG00000062648	
ENSMMUG00000054073	
ENSMMUG00000057626	
ENSMMUG00000018525	PSEN2
ENSMMUG00000022310	DESI2
ENSMMUG00000058133	
ENSMMUG00000052237	Metazoa_SRP
ENSMMUG00000012031	COL8A2
ENSMMUG00000000021	CATSPERE
ENSMMUG00000008636	COQ8A
ENSMMUG00000050632	ADPRHL2
ENSMMUG00000021388	CIART
ENSMMUG00000062093	
ENSMMUG00000000016	ADSS
ENSMMUG00000012028	TEKT2
ENSMMUG00000010176	DTL
ENSMMUG00000000015	C1H1orf100
ENSMMUG00000058747	
ENSMMUG00000059503	Metazoa_SRP
ENSMMUG00000053405	Metazoa_SRP
ENSMMUG00000058339	
ENSMMUG00000041413	mml-mir-3122
ENSMMUG00000006252	AGO3
ENSMMUG00000048772	
ENSMMUG00000050870	U6
ENSMMUG00000039543	Metazoa_SRP
ENSMMUG00000053438	
ENSMMUG00000047935	
ENSMMUG00000011832	E2F2
ENSMMUG00000055596	Metazoa_SRP
ENSMMUG00000008149	ILF2
ENSMMUG00000015664	ZBTB18
ENSMMUG00000061500	
ENSMMUG00000019771	PPP2R5A
ENSMMUG00000063991	
ENSMMUG00000058567	
ENSMMUG00000055600	
ENSMMUG00000058282	
ENSMMUG00000044406	POU3F1
ENSMMUG00000049847	
ENSMMUG00000026424	SNORA16B
ENSMMUG00000055817	Metazoa_SRP
ENSMMUG00000042021	ASAP3
ENSMMUG00000006251	AGO1
ENSMMUG00000002141	PACC1
ENSMMUG00000008836	DDOST
ENSMMUG00000002142	NENF
ENSMMUG00000019995	AKT3
ENSMMUG00000000932	PPP2R3A
ENSMMUG00000053224	SNAPIN
ENSMMUG00000015158	SLC6A9
ENSMMUG00000022196	GPR160
ENSMMUG00000008835	PINK1
ENSMMUG00000008146	CHTOP
ENSMMUG00000064143	Metazoa_SRP
ENSMMUG00000034148	U4
ENSMMUG00000010977	TCEA3
ENSMMUG00000008145	S100A1
ENSMMUG00000056564	CDA
ENSMMUG00000003304	EPHB3
ENSMMUG00000015156	CCDC24
ENSMMUG00000057586	S100A13
ENSMMUG00000031508	
ENSMMUG00000054804	Metazoa_SRP
ENSMMUG00000003343	EIF2C4
ENSMMUG00000060391	
ENSMMUG00000055518	S100A14
ENSMMUG00000000933	MSL2
ENSMMUG00000025174	Y_RNA
ENSMMUG00000057562	
ENSMMUG00000050612	Metazoa_SRP
ENSMMUG00000057322	
ENSMMUG00000064198	
ENSMMUG00000063790	
ENSMMUG00000051858	
ENSMMUG00000015155	B4GALT2
ENSMMUG00000050796	FAM43B
ENSMMUG00000045106	S100A16
ENSMMUG00000061927	Metazoa_SRP
ENSMMUG00000008638	CDC42BPA
ENSMMUG00000016974	DNAH1
ENSMMUG00000010973	ZNF436
ENSMMUG00000002953	MAGEF1
ENSMMUG00000061122	
ENSMMUG00000010978	S100A2
ENSMMUG00000051774	MUL1
ENSMMUG00000054972	
ENSMMUG00000052045	Metazoa_SRP
ENSMMUG00000055243	
ENSMMUG00000022199	PHC3
ENSMMUG00000019994	SDCCAG8
ENSMMUG00000050423	
ENSMMUG00000031655	S100A3
ENSMMUG00000053265	
ENSMMUG00000022884	GLUL
ENSMMUG00000063102	CAMK2N1
ENSMMUG00000010979	S100A4
ENSMMUG00000015150	DPH2
ENSMMUG00000010970	HNRNPR
ENSMMUG00000010980	S100A5
ENSMMUG00000064110	
ENSMMUG00000008917	S100A6
ENSMMUG00000055701	
ENSMMUG00000053474	Metazoa_SRP
ENSMMUG00000022886	TEDDM1
ENSMMUG00000003262	PCCB
ENSMMUG00000058556	U6
ENSMMUG00000011221	FCAMR
ENSMMUG00000049444	
ENSMMUG00000040678	Metazoa_SRP
ENSMMUG00000006022	VWA5B1
ENSMMUG00000001803	GJA5
ENSMMUG00000010961	CLSPN
ENSMMUG00000059457	
ENSMMUG00000022173	C1H1orf116
ENSMMUG00000047604	Metazoa_SRP
ENSMMUG00000056485	
ENSMMUG00000032222	HTR1D
ENSMMUG00000022171	YOD1
ENSMMUG00000061389	Metazoa_SRP
ENSMMUG00000004833	
ENSMMUG00000031291	RGSL1
ENSMMUG00000004835	
ENSMMUG00000012185	ATF3
ENSMMUG00000036025	U6
ENSMMUG00000056752	U6
ENSMMUG00000001349	CHL1
ENSMMUG00000052576	FAM71A
ENSMMUG00000005740	USP24
ENSMMUG00000047853	
ENSMMUG00000045584	LUZP1
ENSMMUG00000013857	GCLM
ENSMMUG00000016982	BAP1
ENSMMUG00000052341	
ENSMMUG00000056664	U6
ENSMMUG00000015142	IPO13
ENSMMUG00000004832	
ENSMMUG00000022170	PFKFB2
ENSMMUG00000035795	U7
ENSMMUG00000038517	UBXN10
ENSMMUG00000021387	C1H1orf54
ENSMMUG00000015056	BATF3
ENSMMUG00000044778	S100A8
ENSMMUG00000052344	PLA2G2C
ENSMMUG00000059270	C1orf216
ENSMMUG00000061945	U6
ENSMMUG00000064796	S100A12
ENSMMUG00000006868	S100A9
ENSMMUG00000008435	DNTTIP2
ENSMMUG00000049733	PLA2G2F
ENSMMUG00000005634	RNASEL
ENSMMUG00000006865	PGLYRP4
ENSMMUG00000019287	NSL1
ENSMMUG00000013090	PSMB2
ENSMMUG00000058244	
ENSMMUG00000052239	U6
ENSMMUG00000053940	PGLYRP3
ENSMMUG00000064041	
ENSMMUG00000032677	MIR760
ENSMMUG00000060204	Metazoa_SRP
ENSMMUG00000053534	Metazoa_SRP
ENSMMUG00000045550	PLA2G2D
ENSMMUG00000051554	Metazoa_SRP
ENSMMUG00000022168	C4BPB
ENSMMUG00000009773	KDM1A
ENSMMUG00000042187	MIR4677
ENSMMUG00000043598	LOR
ENSMMUG00000055481	RGS16
ENSMMUG00000061167	ARTN
ENSMMUG00000045959	
ENSMMUG00000019815	TFAP2E
ENSMMUG00000031430	TATDN3
ENSMMUG00000021750	PRR9
ENSMMUG00000064805	PLA2G5
ENSMMUG00000051645	
ENSMMUG00000011222	PRKCI
ENSMMUG00000057430	
ENSMMUG00000051591	
ENSMMUG00000016984	PHF7
ENSMMUG00000064352	
ENSMMUG00000059169	SPATA45
ENSMMUG00000013738	C4BPA
ENSMMUG00000008990	RGS8
ENSMMUG00000021862	PLA2G2A
ENSMMUG00000049143	
ENSMMUG00000037766	Metazoa_SRP
ENSMMUG00000019812	NCDN
ENSMMUG00000015924	BCAR3
ENSMMUG00000055077	
ENSMMUG00000050331	Metazoa_SRP
ENSMMUG00000041086	Metazoa_SRP
ENSMMUG00000011732	FLVCR1
ENSMMUG00000053964	PLA2G2E
ENSMMUG00000000425	VPS8
ENSMMUG00000018872	SEMA3G
ENSMMUG00000015555	ST3GAL3
ENSMMUG00000061474	
ENSMMUG00000055316	
ENSMMUG00000019914	CEP170
ENSMMUG00000020834	UTP11
ENSMMUG00000054857	
ENSMMUG00000010764	OTUD3
ENSMMUG00000055798	
ENSMMUG00000036441	
ENSMMUG00000064729	SPRR3
ENSMMUG00000057296	
ENSMMUG00000011733	VASH2
ENSMMUG00000005618	TNNC1
ENSMMUG00000023624	Metazoa_SRP
ENSMMUG00000015922	FNBP1L
ENSMMUG00000001264	BSDC1
ENSMMUG00000063702	
ENSMMUG00000054613	RNF186
ENSMMUG00000008992	NPL
ENSMMUG00000016215	HIVEP3
ENSMMUG00000042618	IVL
ENSMMUG00000011711	
ENSMMUG00000017740	SMCP
ENSMMUG00000019806	KIAA0319L
ENSMMUG00000011735	ANGEL2
ENSMMUG00000002492	TMCO4
ENSMMUG00000016214	EDN2
ENSMMUG00000037367	U6
ENSMMUG00000055038	
ENSMMUG00000003263	STAG1
ENSMMUG00000054634	LCE1F
ENSMMUG00000044175	FOXO6
ENSMMUG00000063714	
ENSMMUG00000051719	
ENSMMUG00000027973	Y_RNA
ENSMMUG00000052260	Metazoa_SRP
ENSMMUG00000059561	
ENSMMUG00000054650	
ENSMMUG00000049795	Y_RNA
ENSMMUG00000058472	
ENSMMUG00000058332	TEX46
ENSMMUG00000043588	
ENSMMUG00000064604	Metazoa_SRP
ENSMMUG00000056940	
ENSMMUG00000062759	
ENSMMUG00000062448	Metazoa_SRP
ENSMMUG00000063749	HTR6
ENSMMUG00000048617	Metazoa_SRP
ENSMMUG00000050859	Y_RNA
ENSMMUG00000005619	NISCH
ENSMMUG00000055266	
ENSMMUG00000041482	LACTBL1
ENSMMUG00000012479	KDM4A
ENSMMUG00000061742	Metazoa_SRP
ENSMMUG00000051816	KPRP
ENSMMUG00000039099	SKIL
ENSMMUG00000063085	Metazoa_SRP
ENSMMUG00000005635	DHX9
ENSMMUG00000017104	SCMH1
ENSMMUG00000001966	C1H1orf68
ENSMMUG00000013602	CR2
ENSMMUG00000032231	
ENSMMUG00000053960	Metazoa_SRP
ENSMMUG00000059167	Metazoa_SRP
ENSMMUG00000016812	CCDC18
ENSMMUG00000049843	
ENSMMUG00000062996	
ENSMMUG00000014874	GTPBP8
ENSMMUG00000004265	PLD5
ENSMMUG00000008549	CNTN6
ENSMMUG00000049286	
ENSMMUG00000059260	CLDN11
ENSMMUG00000064556	MRPS25
ENSMMUG00000003581	TMIGD3
ENSMMUG00000053735	
ENSMMUG00000023382	EPHB2
ENSMMUG00000017103	SLFNL1
ENSMMUG00000058094	
ENSMMUG00000005210	RPS6KC1
ENSMMUG00000056808	
ENSMMUG00000056341	TSSK3
ENSMMUG00000013596	CR1
ENSMMUG00000014876	NEPRO
ENSMMUG00000050804	
ENSMMUG00000053498	
ENSMMUG00000013987	SLC7A14
ENSMMUG00000035346	U6
ENSMMUG00000000352	FAM229A
ENSMMUG00000052516	U6
ENSMMUG00000058456	CRCT1
ENSMMUG00000005158	RBSN
ENSMMUG00000001967	LCE5A
ENSMMUG00000053723	
ENSMMUG00000003579	C1H1orf162
ENSMMUG00000017101	CTPS1
ENSMMUG00000053323	
ENSMMUG00000015081	SHCBP1L
ENSMMUG00000059352	
ENSMMUG00000061598	
ENSMMUG00000060345	BECN2
ENSMMUG00000009951	MARCKSL1
ENSMMUG00000050772	
ENSMMUG00000061527	
ENSMMUG00000009040	CRNN
ENSMMUG00000040888	CR1L
ENSMMUG00000052779	Metazoa_SRP
ENSMMUG00000056511	
ENSMMUG00000051943	
ENSMMUG00000065322	
ENSMMUG00000045421	TMED5
ENSMMUG00000060445	
ENSMMUG00000023145	RUSC1
ENSMMUG00000057590	Y_RNA
ENSMMUG00000009948	HDAC1
ENSMMUG00000059472	FLG2
ENSMMUG00000059665	
ENSMMUG00000044187	
ENSMMUG00000008761	EXO1
ENSMMUG00000022881	RPL22L1
ENSMMUG00000061947	
ENSMMUG00000009425	
ENSMMUG00000053610	Metazoa_SRP
ENSMMUG00000015084	LAMC1
ENSMMUG00000063539	U4
ENSMMUG00000058486	C1QB
ENSMMUG00000053934	Metazoa_SRP
ENSMMUG00000064774	
ENSMMUG00000022880	EIF5A2
ENSMMUG00000055760	
ENSMMUG00000046670	TRH
ENSMMUG00000025175	U1
ENSMMUG00000063807	
ENSMMUG00000021386	APH1A
ENSMMUG00000020756	C1QC
ENSMMUG00000016808	MTF2
ENSMMUG00000062669	
ENSMMUG00000056158	
ENSMMUG00000040694	LCK
ENSMMUG00000043675	CITED4
ENSMMUG00000014385	SLC2A2
ENSMMUG00000006894	CAPZB
ENSMMUG00000013561	ACP6
ENSMMUG00000008763	WDR64
ENSMMUG00000063725	
ENSMMUG00000007129	CD46
ENSMMUG00000019536	KCNQ4
ENSMMUG00000003309	OVGP1
ENSMMUG00000001847	CNTN4
ENSMMUG00000043775	mml-mir-6127
ENSMMUG00000016793	TMCC1
ENSMMUG00000016786	BCL9
ENSMMUG00000062596	
ENSMMUG00000053652	
ENSMMUG00000058256	
ENSMMUG00000005736	PCSK9
ENSMMUG00000039340	Metazoa_SRP
ENSMMUG00000055285	Metazoa_SRP
ENSMMUG00000037376	U6
ENSMMUG00000055815	Y_RNA
ENSMMUG00000065199	Y_RNA
ENSMMUG00000020754	EPHA8
ENSMMUG00000054107	
ENSMMUG00000001479	LAMC2
ENSMMUG00000019793	ZMYM4
ENSMMUG00000017351	STAB1
ENSMMUG00000052469	Y_RNA
ENSMMUG00000000476	FMO5
ENSMMUG00000023200	FHL3
ENSMMUG00000051332	
ENSMMUG00000036946	U6
ENSMMUG00000001849	IL5RA
ENSMMUG00000006892	SLC66A1
ENSMMUG00000023151	KIF15
ENSMMUG00000014970	NFYC
ENSMMUG00000061825	U6
ENSMMUG00000005669	OPN3
ENSMMUG00000040115	
ENSMMUG00000043124	FAM167B
ENSMMUG00000048228	U6
ENSMMUG00000025492	Y_RNA
ENSMMUG00000045495	Metazoa_SRP
ENSMMUG00000037178	U6
ENSMMUG00000017983	TRNT1
ENSMMUG00000061615	
ENSMMUG00000006119	EIF3I
ENSMMUG00000060809	Metazoa_SRP
ENSMMUG00000012737	PLXND1
ENSMMUG00000005668	KMO
ENSMMUG00000025420	Y_RNA
ENSMMUG00000051071	Metazoa_SRP
ENSMMUG00000051142	LDLRAP1
ENSMMUG00000019360	SLC35G2
ENSMMUG00000057445	
ENSMMUG00000018618	ZBTB40
ENSMMUG00000050205	
ENSMMUG00000008453	
ENSMMUG00000005073	DIPK1A
ENSMMUG00000005735	BSND
ENSMMUG00000061293	
ENSMMUG00000017696	EIF2A
ENSMMUG00000053581	C1orf88
ENSMMUG00000026958	MIR29C
ENSMMUG00000023199	SF3A3
ENSMMUG00000017986	CRBN
ENSMMUG00000026847	mml-mir-29b-2
ENSMMUG00000011914	PROX1
ENSMMUG00000051009	
ENSMMUG00000057466	
ENSMMUG00000008552	TMEM61
ENSMMUG00000009024	CHD1L
ENSMMUG00000025705	
ENSMMUG00000008857	CHIA
ENSMMUG00000005667	FH
ENSMMUG00000006697	AKR7A2
ENSMMUG00000061360	Metazoa_SRP
ENSMMUG00000055871	NCK1
ENSMMUG00000005072	RPL5
ENSMMUG00000026870	mml-mir-30c-1
ENSMMUG00000002454	
ENSMMUG00000017718	IQCC
ENSMMUG00000001481	NMNAT2
ENSMMUG00000054974	
ENSMMUG00000015133	CD34
ENSMMUG00000032681	mml-mir-30e
ENSMMUG00000026648	SNORA66
ENSMMUG00000021577	DHCR24
ENSMMUG00000028449	SNORD21
ENSMMUG00000057010	
ENSMMUG00000049516	U6
ENSMMUG00000018014	MACO1
ENSMMUG00000015631	SMYD2
ENSMMUG00000052190	Metazoa_SRP
ENSMMUG00000007390	IL20RB
ENSMMUG00000039139	RIMS3
ENSMMUG00000049373	LRRN1
ENSMMUG00000043487	Metazoa_SRP
ENSMMUG00000059767	C2H3orf70
ENSMMUG00000054776	
ENSMMUG00000046184	
ENSMMUG00000063245	
ENSMMUG00000002455	CHI3L2
ENSMMUG00000021575	LEXM
ENSMMUG00000033170	
ENSMMUG00000012736	H1FOO
ENSMMUG00000012221	PRKAB2
ENSMMUG00000060685	
ENSMMUG00000060304	
ENSMMUG00000057015	Metazoa_SRP
ENSMMUG00000053064	
ENSMMUG00000061582	Metazoa_SRP
ENSMMUG00000050658	
ENSMMUG00000056473	
ENSMMUG00000015632	PTPN14
ENSMMUG00000012477	PTPRF
ENSMMUG00000055315	RHO
ENSMMUG00000053997	EHHADH
ENSMMUG00000058111	U6
ENSMMUG00000059358	
ENSMMUG00000050315	
ENSMMUG00000003650	TMEM42
ENSMMUG00000010729	RGS7
ENSMMUG00000028051	U1
ENSMMUG00000061414	WNT4
ENSMMUG00000017828	SETMAR
ENSMMUG00000040207	DCDC2B
ENSMMUG00000006891	AKR7A3
ENSMMUG00000054758	
ENSMMUG00000056255	
ENSMMUG00000005070	EVI5
ENSMMUG00000049415	
ENSMMUG00000050602	
ENSMMUG00000057342	U1
ENSMMUG00000023277	INPP5B
ENSMMUG00000011156	RHCE
ENSMMUG00000062290	
ENSMMUG00000049315	U1
ENSMMUG00000004563	PLXNA2
ENSMMUG00000009234	ZNF684
ENSMMUG00000064473	MRTO4
ENSMMUG00000058890	TGM4
ENSMMUG00000062098	Metazoa_SRP
ENSMMUG00000015066	CCDC28B
ENSMMUG00000061860	
ENSMMUG00000057122	
ENSMMUG00000023144	FDPS
ENSMMUG00000022262	TNIK
ENSMMUG00000015634	CENPF
ENSMMUG00000050628	Metazoa_SRP
ENSMMUG00000020398	EXO5
ENSMMUG00000049470	DENND2D
ENSMMUG00000054679	Metazoa_SRP
ENSMMUG00000004734	SUMF1
ENSMMUG00000009636	CLDN18
ENSMMUG00000033058	
ENSMMUG00000022009	CDC42
ENSMMUG00000056871	5S_rRNA
ENSMMUG00000023814	MAP3K13
ENSMMUG00000005836	ZFP69B
ENSMMUG00000007886	CASR
ENSMMUG00000064824	GREM2
ENSMMUG00000032217	TMEM50A
ENSMMUG00000015580	TXLNA
ENSMMUG00000021574	TTC22
ENSMMUG00000054372	
ENSMMUG00000031497	
ENSMMUG00000035358	U6
ENSMMUG00000031435	
ENSMMUG00000043005	Metazoa_SRP
ENSMMUG00000023275	MTF1
ENSMMUG00000049853	Metazoa_SRP
ENSMMUG00000051230	
ENSMMUG00000065039	
ENSMMUG00000057845	
ENSMMUG00000062651	
ENSMMUG00000006688	EMC1
ENSMMUG00000051883	
ENSMMUG00000057560	
ENSMMUG00000019740	ZDHHC3
ENSMMUG00000013269	DZIP1L
ENSMMUG00000062883	Metazoa_SRP
ENSMMUG00000043951	Metazoa_SRP
ENSMMUG00000052612	
ENSMMUG00000065223	
ENSMMUG00000059650	FMN2
ENSMMUG00000054334	
ENSMMUG00000032084	PARS2
ENSMMUG00000060798	
ENSMMUG00000005371	C1orf122
ENSMMUG00000013839	SMAP2
ENSMMUG00000041183	
ENSMMUG00000003887	CELA3B
ENSMMUG00000019154	SFPQ
ENSMMUG00000018458	SMG7
ENSMMUG00000005372	YRDC
ENSMMUG00000002970	RSRP1
ENSMMUG00000016931	KCNK2
ENSMMUG00000026504	U6
ENSMMUG00000052967	
ENSMMUG00000046192	Metazoa_SRP
ENSMMUG00000024249	U4
ENSMMUG00000022040	MANEAL
ENSMMUG00000005185	RGS4
ENSMMUG00000002968	SYF2
ENSMMUG00000021385	CA14
ENSMMUG00000058838	Metazoa_SRP
ENSMMUG00000025159	U5
ENSMMUG00000064202	
ENSMMUG00000001869	SNAP47
ENSMMUG00000055525	
ENSMMUG00000006754	TTC4
ENSMMUG00000008455	KPNA6
ENSMMUG00000064748	Metazoa_SRP
ENSMMUG00000051390	
ENSMMUG00000065207	
ENSMMUG00000024513	Y_RNA
ENSMMUG00000053800	
ENSMMUG00000002461	CEPT1
ENSMMUG00000064868	U1
ENSMMUG00000026923	mml-mir-205
ENSMMUG00000029649	
ENSMMUG00000012727	IFT122
ENSMMUG00000062716	
ENSMMUG00000058564	Metazoa_SRP
ENSMMUG00000060855	Metazoa_SRP
ENSMMUG00000022639	KCTD3
ENSMMUG00000064377	U1
ENSMMUG00000022038	EPHA10
ENSMMUG00000055536	Metazoa_SRP
ENSMMUG00000018664	COL9A2
ENSMMUG00000058153	Metazoa_SRP
ENSMMUG00000026240	Y_RNA
ENSMMUG00000021284	DBR1
ENSMMUG00000005068	GFI1
ENSMMUG00000042756	Metazoa_SRP
ENSMMUG00000000220	MRPL3
ENSMMUG00000061518	Metazoa_SRP
ENSMMUG00000053969	JMJD4
ENSMMUG00000046626	TMEM41A
ENSMMUG00000019130	EXOSC7
ENSMMUG00000055847	
ENSMMUG00000021442	CHRM3
ENSMMUG00000007338	TXNIP
ENSMMUG00000003369	CAMK1G
ENSMMUG00000024125	SNORA58
ENSMMUG00000060243	
ENSMMUG00000016479	ZMYM1
ENSMMUG00000060353	PRSS38
ENSMMUG00000060259	Metazoa_SRP
ENSMMUG00000061459	Metazoa_SRP
ENSMMUG00000057953	
ENSMMUG00000053968	
ENSMMUG00000009114	
ENSMMUG00000050186	Metazoa_SRP
ENSMMUG00000014340	CDCA8
ENSMMUG00000023089	PHGDH
ENSMMUG00000051139	CLEC3B
ENSMMUG00000003277	CPNE4
ENSMMUG00000034447	U2
ENSMMUG00000008338	WNT9A
ENSMMUG00000016054	HJV
ENSMMUG00000002420	RUNX3
ENSMMUG00000017699	SELENOT
ENSMMUG00000050247	Metazoa_SRP
ENSMMUG00000007806	LYPLAL1
ENSMMUG00000058078	Metazoa_SRP
ENSMMUG00000050045	
ENSMMUG00000013018	SENP2
ENSMMUG00000059198	
ENSMMUG00000042929	Metazoa_SRP
ENSMMUG00000063277	Metazoa_SRP
ENSMMUG00000022640	USH2A
ENSMMUG00000005186	RGS5
ENSMMUG00000054726	
ENSMMUG00000050712	WNT3A
ENSMMUG00000054856	
ENSMMUG00000021531	ANP32E
ENSMMUG00000044826	C1orf109
ENSMMUG00000016738	POLR3GL
ENSMMUG00000005742	CDCP1
ENSMMUG00000015083	
ENSMMUG00000058513	
ENSMMUG00000002416	CLIC4
ENSMMUG00000015650	TMEM39B
ENSMMUG00000061877	
ENSMMUG00000016925	LAMB3
ENSMMUG00000054712	
ENSMMUG00000017360	NT5DC2
ENSMMUG00000017509	ERICH6
ENSMMUG00000052432	ARF1
ENSMMUG00000029348	
ENSMMUG00000056585	
ENSMMUG00000012105	FXR1
ENSMMUG00000021449	VPS13D
ENSMMUG00000000812	LRIF1
ENSMMUG00000013679	ACOT11
ENSMMUG00000061399	U6
ENSMMUG00000050533	
ENSMMUG00000060016	ZNF697
ENSMMUG00000001152	NUF2
ENSMMUG00000023416	IGF2BP2
ENSMMUG00000049264	
ENSMMUG00000010096	RPAP2
ENSMMUG00000008420	RSPO1
ENSMMUG00000005000	ZMYM6
ENSMMUG00000059542	
ENSMMUG00000061301	SLC30A10
ENSMMUG00000056972	
ENSMMUG00000060894	Metazoa_SRP
ENSMMUG00000055346	TMEM158
ENSMMUG00000061845	
ENSMMUG00000041790	Metazoa_SRP
ENSMMUG00000047901	Metazoa_SRP
ENSMMUG00000052395	
ENSMMUG00000063954	
ENSMMUG00000024064	U3
ENSMMUG00000047765	HSD3B1
ENSMMUG00000016004	ACPP
ENSMMUG00000054842	U3
ENSMMUG00000050505	C3orf78
ENSMMUG00000002791	C1H1orf35
ENSMMUG00000005992	ZMPSTE24
ENSMMUG00000053896	
ENSMMUG00000059287	
ENSMMUG00000002105	ZP4
ENSMMUG00000021285	ARMC8
ENSMMUG00000060370	
